epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9189,3.31271,4.80941,2.77171,0.00167,0.6,0.00398,0.00077,3.15197,5.47611,2.42303,4e-05,4e-05,4e-05
2,53.2188,2.88061,5.53057,2.4898,0.00278,1,0.00559,0.0013,2.61355,4.66087,2.14781,9.9175e-05,9.9175e-05,9.9175e-05
3,72.0818,2.29493,4.52141,2.07937,0.00278,1,0.00709,0.00399,1.5968,4.02366,1.54427,0.00015736,0.00015736,0.00015736
4,86.8877,1.53063,3.93862,1.70394,0.00278,1,0.00706,0.00514,0.80827,3.64127,1.13831,0.000214555,0.000214555,0.000214555
5,99.8919,1.36208,3.28099,1.50551,0.00278,1,0.00635,0.00501,0.73269,3.5926,1.05465,0.00027076,0.00027076,0.00027076
6,114.793,1.15705,2.67514,1.30778,0.00278,1,0.00708,0.00471,0.69645,3.54339,1.02672,0.000325975,0.000325975,0.000325975
7,131.851,1.07061,2.42391,1.27071,0.00278,1,0.00648,0.00507,0.77196,3.4087,1.01432,0.0003802,0.0003802,0.0003802
8,147.687,1.07627,2.27953,1.20953,0.00278,1,0.01064,0.00596,0.90879,3.50676,1.06029,0.000433435,0.000433435,0.000433435
9,160.453,1.00372,2.11935,1.14762,0.00278,1,0.01057,0.00492,0.8016,3.52396,1.05404,0.00048568,0.00048568,0.00048568
10,172.186,0.99694,2.13735,1.0873,0.00278,1,0.00594,0.00422,0.7489,3.47645,1.05865,0.000536935,0.000536935,0.000536935
11,186.715,0.99252,1.61933,1.11242,0.00278,1,0.00592,0.00513,0.66029,3.47538,0.99317,0.0005872,0.0005872,0.0005872
12,202.56,0.93568,1.68024,1.02453,0.00278,1,0.00604,0.00528,0.60739,3.45128,0.97845,0.000636475,0.000636475,0.000636475
13,214.789,0.92533,1.56956,1.04335,0.00278,1,0.00726,0.00611,0.64891,3.46647,1.00596,0.00068476,0.00068476,0.00068476
14,227.138,0.83057,1.43745,1.01254,0.00278,1,0.00747,0.00603,0.66698,3.46811,1.01728,0.000732055,0.000732055,0.000732055
15,239.422,0.96921,1.53167,1.07254,0.00278,1,0.00879,0.00709,0.77777,3.37498,1.06062,0.00077836,0.00077836,0.00077836
16,251.733,0.85248,1.25588,0.98061,0.00278,1,0.0089,0.00735,0.76485,3.39295,1.06214,0.000823675,0.000823675,0.000823675
17,265.525,0.77356,1.24837,0.95037,0.00278,1,0.00918,0.00746,0.86374,3.60174,1.11241,0.000868,0.000868,0.000868
18,277.532,0.85309,1.25189,1.00511,0.00278,1,0.02501,0.02177,0.8491,3.54628,1.11548,0.000911335,0.000911335,0.000911335
19,289.87,0.77586,1.21883,0.97539,0.00278,1,0.20187,0.16159,0.83256,3.47633,1.10524,0.00095368,0.00095368,0.00095368
20,301.847,0.86143,1.30971,0.98813,0.00278,1,0.2017,0.18086,0.85289,3.54585,1.12689,0.000995035,0.000995035,0.000995035
21,314.651,0.78607,1.15306,0.97369,0.00278,1,0.2012,0.17952,0.95558,3.56509,1.1891,0.0010354,0.0010354,0.0010354
22,330.556,0.77037,1.17144,0.9989,0.00278,1,0.20094,0.17958,0.91301,3.41956,1.1479,0.00107478,0.00107478,0.00107478
23,343.381,0.77243,1.04445,0.92469,0.79546,0.4,0.39929,0.31912,0.97256,3.1817,1.12819,0.00111316,0.00111316,0.00111316
24,359.469,0.78897,1.13234,0.96464,1,0.35182,0.50137,0.40331,0.92114,2.97912,1.11696,0.00115055,0.00115055,0.00115055
25,374.891,0.89848,1.38338,1.0738,0.69898,0.4,0.5483,0.47843,0.75013,3.13858,1.05662,0.00118696,0.00118696,0.00118696
